Time (UTC),Plays
"11/25/2021, 24:00:00",0
"12/2/2021, 24:00:00",0
"12/9/2021, 24:00:00",0
"12/16/2021, 24:00:00",0
"12/23/2021, 24:00:00",0
"12/30/2021, 24:00:00",0
"1/6/2022, 24:00:00",0
"1/13/2022, 24:00:00",0
"1/20/2022, 24:00:00",0
"1/27/2022, 24:00:00",0
"2/3/2022, 24:00:00",0
"2/10/2022, 24:00:00",0
"2/17/2022, 24:00:00",0
"2/24/2022, 24:00:00",0
"3/3/2022, 24:00:00",0
"3/10/2022, 24:00:00",0
"3/17/2022, 24:00:00",0
"3/24/2022, 24:00:00",0
"3/31/2022, 24:00:00",54
"4/7/2022, 24:00:00",203
"4/14/2022, 24:00:00",149
"4/21/2022, 24:00:00",2
"4/28/2022, 24:00:00",0
"5/5/2022, 24:00:00",30
"5/12/2022, 24:00:00",1
"5/19/2022, 24:00:00",0
"5/26/2022, 24:00:00",1
"6/2/2022, 24:00:00",2
"6/9/2022, 24:00:00",1
"6/16/2022, 24:00:00",0
"6/23/2022, 24:00:00",0
"6/30/2022, 24:00:00",1
"7/7/2022, 24:00:00",0
"7/14/2022, 24:00:00",1
"7/21/2022, 24:00:00",0
"7/28/2022, 24:00:00",0
"8/4/2022, 24:00:00",6
"8/11/2022, 24:00:00",0
"8/18/2022, 24:00:00",0
"8/25/2022, 24:00:00",0
"9/1/2022, 24:00:00",0
"9/8/2022, 24:00:00",0
"9/15/2022, 24:00:00",0
"9/22/2022, 24:00:00",0
"9/29/2022, 24:00:00",0
"10/6/2022, 24:00:00",1
"10/13/2022, 24:00:00",1
"10/20/2022, 24:00:00",0
